"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FLUCCSCODE","long_name","bay_segment","geometry"
"1","Site-1","Base","None",-82.5739504793007,27.8742481285237,"None",29973171.2526154,3.33631697350924e-08,"None",9116,"Old Tampa Bay","OTB",c(x = 470742.319025238, y = 1287420.42539024)
"2","Site-2","Base","None",-82.5366713003268,27.9054216865782,"None",29973171.2526154,3.33631697350924e-08,"None",9113,"Old Tampa Bay","OTB",c(x = 482835.849984945, y = 1298699.36927146)
"3","Site-3","Base","None",-82.5454676527541,27.9364104263657,"None",29973171.2526154,3.33631697350924e-08,"None",9113,"Old Tampa Bay","OTB",c(x = 480045.035148089, y = 1309978.31315268)
"4","Site-4","Base","None",-82.5455121774172,27.9452740182066,"None",29973171.2526154,3.33631697350924e-08,"None",9113,"Old Tampa Bay","OTB",c(x = 480045.035148089, y = 1313200.86854731)
"5","Site-5","Base","None",-82.5939853043151,27.8520037259564,"None",29973171.2526154,3.33631697350924e-08,"None",9116,"Old Tampa Bay","OTB",c(x = 464230.417739242, y = 1279364.03690366)
"6","Site-6","Base","None",-82.6553744140859,28.0068402280779,"None",29973171.2526154,3.33631697350924e-08,"None",9113,"Old Tampa Bay","OTB",c(x = 444694.713881254, y = 1335758.75630975)
