"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FLUCCSCODE","long_name","bay_segment","geometry"
"1","Site-01","Base","None",-82.6655215032011,28.0219270895286,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 441450.361968675, y = 1341261.66056264)
"2","Site-02","Base","None",-82.5473322289856,27.9549042193549,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 479473.088103303, y = 1316704.70366155)
"3","Site-03","Base","None",-82.5477657733907,27.8428387161936,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 479150.861610637, y = 1275962.47971202)
"4","Site-04","Base","None",-82.5966978271888,27.8564519368288,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 463361.763469986, y = 1280985.49362361)
"5","Site-05","Base","None",-82.6902051798455,27.9772881644462,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 433394.699652016, y = 1325076.39351419)
"6","Site-06","Base","None",-82.535264153025,27.9365303388261,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 483339.806015299, y = 1310007.35177944)
"7","Site-07","Base","None",-82.5351431848402,27.9119689456722,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 483339.806015299, y = 1301077.54926995)
"8","Site-08","Base","None",-82.5866432902511,27.8411438030336,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 466584.028396649, y = 1275404.36705518)
"9","Site-09","Base","None",-82.6268078118929,27.8900909212862,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 453694.968689996, y = 1293263.97207415)
"10","Site-10","Base","None",-82.5823728257092,27.9747167268326,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 468195.160859981, y = 1323960.16820051)
"11","Site-11","Base","None",-82.5359518358309,27.8735877200721,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 483017.579522633, y = 1287124.73284888)
"12","Site-12","Base","None",-82.6219519899861,27.9131395376244,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 455306.101153327, y = 1301635.66192679)
"13","Site-13","Base","None",-82.5702966086697,27.9563460899914,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 472061.878771977, y = 1317262.81631839)
"14","Site-14","Base","None",-82.6073555325139,27.9792139866122,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 460139.498543322, y = 1325634.50617104)
"15","Site-15","Base","None",-82.5987596960116,27.8687239676762,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 462717.310484653, y = 1285450.39487835)
"16","Site-16","Base","None",-82.6148031854272,27.8840045335295,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 457561.686601992, y = 1291031.52144678)
"17","Site-17","Base","None",-82.5512466868584,27.9395375071158,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 478184.182132638, y = 1311123.57709312)
"18","Site-18","Base","None",-82.592658978925,27.8472586031959,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 464650.669440651, y = 1277636.81768255)
"19","Site-19","Base","None",-82.5362545098704,27.93499137185,"None",3596780.55031385,2.78026414459103e-07,"None",9113,"Old Tampa Bay","OTB",c(x = 483017.579522633, y = 1309449.23912259)
"20","Site-20","Base","None",-82.5876486156404,27.8426746528577,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 466261.801903983, y = 1275962.47971202)
"21","Site-21","Base","None",-82.623806530751,27.8885694248946,"None",3596780.55031385,2.78026414459103e-07,"None",9116,"Old Tampa Bay","OTB",c(x = 454661.648167995, y = 1292705.85941731)
