"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","idval","source","target","Acres","var","long_name","bay_segment","geometry"
"1","Site-1","Base","None",-82.6277714025025,27.8992555664543,"lost",17526608.5849387,5.70561038750724e-08,"None",223,"Seagrass, 2020","other, 2022",13.9466449570011,"lost","Old Tampa Bay","OTB",c(x = 453400.782684427, y = 1296597.51554786)
"2","Site-2","Base","None",-82.5967907333981,27.8722815101665,"lost",17526608.5849387,5.70561038750724e-08,"None",3024,"Seagrass, 2020","other, 2022",19.9543711328423,"lost","Old Tampa Bay","OTB",c(x = 463359.760824516, y = 1286740.68347352)
"3","Site-3","Base","None",-82.6349527962053,27.9975012664008,"lost",17526608.5849387,5.70561038750724e-08,"None",3349,"Seagrass, 2020","other, 2022",69.9234041080717,"lost","Old Tampa Bay","OTB",c(x = 451266.715940123, y = 1332328.53181736)
"4","Site-4","Base","None",-82.6548116533933,28.0007970139029,"lost",17526608.5849387,5.70561038750724e-08,"None",3348,"Seagrass, 2020","other, 2022",23.7103024292058,"lost","Old Tampa Bay","OTB",c(x = 444864.515707208, y = 1333560.63582665)
"5","Site-5","Base","None",-82.6520573405384,27.9093096012696,"lost",17526608.5849387,5.70561038750724e-08,"None",229,"Seagrass, 2020","other, 2022",62.1685425015968,"lost","Old Tampa Bay","OTB",c(x = 445575.871288643, y = 1300293.82757574)
"6","Site-6","Base","None",-82.6681212258184,28.0142884852711,"lost",17526608.5849387,5.70561038750724e-08,"None",235,"Seagrass, 2020","other, 2022",18.3054747443789,"lost","Old Tampa Bay","OTB",c(x = 440596.382218599, y = 1338489.05186382)
