"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","idval","source","target","Acres","var","long_name","bay_segment","geometry"
"1","Site-1","Base","None",-82.6147537812098,27.9824651492289,"lost",26289912.8774081,3.80374025833816e-08,"None",2990,"Seagrass, 2020","other, 2022",108.513329041474,"lost","Old Tampa Bay","OTB",c(x = 457757.574358167, y = 1326828.47798047)
"2","Site-2","Base","None",-82.6472910822344,28.0072167622957,"lost",26289912.8774081,3.80374025833816e-08,"None",3005,"Seagrass, 2020","other, 2022",212.60732343986,"lost","Old Tampa Bay","OTB",c(x = 447303.779972206, y = 1335881.72948465)
"3","Site-3","Base","None",-82.6196307807003,27.891139006275,"lost",26289912.8774081,3.80374025833816e-08,"None",3023,"Seagrass, 2020","other, 2022",148.915595649307,"lost","Old Tampa Bay","OTB",c(x = 456015.27529384, y = 1293633.22246514)
"4","Site-4","Base","None",-82.6602083032211,27.9117016168097,"lost",26289912.8774081,3.80374025833816e-08,"None",3036,"Seagrass, 2020","other, 2022",200.141610532731,"lost","Old Tampa Bay","OTB",c(x = 442948.032311389, y = 1301177.59871862)
