"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FLUCCSCODE","long_name","bay_segment","geometry"
"1","Site-1","Base","None",-82.6293025161894,27.9071230363925,"None",29973171.2526154,3.33631697350924e-08,"None",9116,"Old Tampa Bay","OTB",c(x = 452920.934928084, y = 1299460.39926105)
"2","Site-2","Base","None",-82.5662142569757,27.9605792708434,"None",29973171.2526154,3.33631697350924e-08,"None",9116,"Old Tampa Bay","OTB",c(x = 473386.910398357, y = 1318795.73162886)
"3","Site-3","Base","None",-82.5371343636162,27.9075131379864,"None",29973171.2526154,3.33631697350924e-08,"None",9113,"Old Tampa Bay","OTB",c(x = 482689.626521209, y = 1299460.39926105)
"4","Site-4","Base","None",-82.6089672580404,27.8761911937311,"None",29973171.2526154,3.33631697350924e-08,"None",9116,"Old Tampa Bay","OTB",c(x = 459432.83621408, y = 1288181.45537984)
"5","Site-5","Base","None",-82.5686089513975,27.8674996786769,"None",29973171.2526154,3.33631697350924e-08,"None",9113,"Old Tampa Bay","OTB",c(x = 472456.638786072, y = 1284958.8999852)
"6","Site-6","Base","None",-82.6211434616336,27.9913651135751,"None",29973171.2526154,3.33631697350924e-08,"None",9113,"Old Tampa Bay","OTB",c(x = 455711.74976494, y = 1330074.67551007)
