"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FLUCCSCODE","long_name","bay_segment","geometry"
"1","Site-1","Base","None",-82.6055495017408,27.981571443063,"None",29973171.2526154,3.33631697350924e-08,"None",9116,"Old Tampa Bay","OTB",c(x = 460726.666804601, y = 1326488.70991347)
"2","Site-2","Base","None",-82.5331235369826,27.9065291336503,"None",29973171.2526154,3.33631697350924e-08,"None",9113,"Old Tampa Bay","OTB",c(x = 483983.45711173, y = 1299096.98905908)
"3","Site-3","Base","None",-82.5932463486974,27.839804812813,"None",29973171.2526154,3.33631697350924e-08,"None",9113,"Old Tampa Bay","OTB",c(x = 464447.753253742, y = 1274927.82359933)
"4","Site-4","Base","None",-82.6165247327309,27.8840218184594,"None",29973171.2526154,3.33631697350924e-08,"None",9116,"Old Tampa Bay","OTB",c(x = 457005.580355461, y = 1291040.6005725)
"5","Site-5","Base","None",-82.5329932686096,27.8799381197635,"None",29973171.2526154,3.33631697350924e-08,"None",9113,"Old Tampa Bay","OTB",c(x = 483983.45711173, y = 1289429.32287518)
"6","Site-6","Base","None",-82.6287099898436,27.9991947961389,"None",29973171.2526154,3.33631697350924e-08,"None",9113,"Old Tampa Bay","OTB",c(x = 453284.49390632, y = 1332933.82070274)
