"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","idval","source","target","Acres","var","long_name","bay_segment","geometry"
"1","Site-1","Base","None",-82.5875225821611,27.8436691612009,"gained",2356777.54141079,4.24308184556694e-07,"None",5441,"other, 2018","Cont., 2020",2.90488065706478,"gained","Old Tampa Bay","OTB",c(x = 466304.263454498, y = 1276323.84940089)
"2","Site-2","Base","None",-82.6417439329493,28.0049667533037,"gained",2356777.54141079,4.24308184556694e-07,"None",5432,"other, 2018","Patchy, 2020",34.5414263500011,"gained","Old Tampa Bay","OTB",c(x = 449089.431014668, y = 1335054.23388338)
"3","Site-3","Base","None",-82.6217325677333,27.8981945818198,"gained",2356777.54141079,4.24308184556694e-07,"None",5492,"other, 2018","Patchy, 2020",5.92757291960331,"gained","Old Tampa Bay","OTB",c(x = 455349.370083697, y = 1296201.82568727)
"4","Site-4","Base","None",-82.6261870111526,27.893167337206,"lost",60834737.5399639,1.64379767290534e-08,"None",1318,"Cont., 2018","other, 2020",12.8613660203454,"lost","Old Tampa Bay","OTB",c(x = 453901.223074976, y = 1294381.42449686)
"5","Site-5","Base","None",-82.7209472988548,27.9495405433655,"lost",60834737.5399639,1.64379767290534e-08,"None",2428,"Patchy, 2018","other, 2020",71.9129861006675,"lost","Old Tampa Bay","OTB",c(x = 423412.498158637, y = 1315045.43256286)
"6","Site-6","Base","None",-82.7002964552958,27.9307017336141,"lost",60834737.5399639,1.64379767290534e-08,"None",1333,"Patchy, 2018","other, 2020",192.08535842729,"lost","Old Tampa Bay","OTB",c(x = 430040.481836102, y = 1308157.42987419)
