"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","idval","source","target","Acres","var","long_name","bay_segment","geometry"
"1","Site-01","Base","None",-82.6274804822365,27.9091035537558,"lost",2103193.03019265,4.7546753229227e-07,"None",3025,"Seagrass, 2020","other, 2022",20.1227915911696,"lost","Old Tampa Bay","OTB",c(x = 453513.101360983, y = 1300177.42762116)
"2","Site-02","Base","None",-82.6738516274351,28.0051406406178,"lost",2103193.03019265,4.7546753229227e-07,"None",60,"Seagrass, 2020","other, 2022",33.2795770751836,"lost","Old Tampa Bay","OTB",c(x = 438729.041544116, y = 1335173.3093726)
"3","Site-03","Base","None",-82.6843191698112,27.9698734996354,"lost",2103193.03019265,4.7546753229227e-07,"None",119,"Seagrass, 2020","other, 2022",21.5460859363213,"lost","Old Tampa Bay","OTB",c(x = 435279.427586846, y = 1322369.93800012)
"4","Site-04","Base","None",-82.5498303680331,27.9423037865815,"lost",2103193.03019265,4.7546753229227e-07,"None",17,"Seagrass, 2020","other, 2022",6.06324544217038,"lost","Old Tampa Bay","OTB",c(x = 478646.003049658, y = 1312127.24090214)
"5","Site-05","Base","None",-82.6067970170566,27.8939358509798,"lost",2103193.03019265,4.7546753229227e-07,"None",26,"Seagrass, 2020","other, 2022",203.722808095576,"lost","Old Tampa Bay","OTB",c(x = 460165.928278574, y = 1294629.30002642)
"6","Site-06","Base","None",-82.6440933243214,28.0088048317087,"lost",2103193.03019265,4.7546753229227e-07,"None",3005,"Seagrass, 2020","other, 2022",212.60732343986,"lost","Old Tampa Bay","OTB",c(x = 448338.680425079, y = 1336453.64650984)
"7","Site-07","Base","None",-82.7215108224954,27.9379895949623,"lost",2103193.03019265,4.7546753229227e-07,"None",194,"Seagrass, 2020","other, 2022",22.9119929471406,"lost","Old Tampa Bay","OTB",c(x = 423205.778736405, y = 1310846.90376489)
"8","Site-08","Base","None",-82.6687057169551,27.9136051008638,"lost",2103193.03019265,4.7546753229227e-07,"None",2932,"Seagrass, 2020","other, 2022",48.0757444830963,"lost","Old Tampa Bay","OTB",c(x = 440207.447525802, y = 1301884.54380416)
"9","Site-09","Base","None",-82.6274263046946,27.8997128455718,"lost",2103193.03019265,4.7546753229227e-07,"None",223,"Seagrass, 2020","other, 2022",13.9466449570011,"lost","Old Tampa Bay","OTB",c(x = 453513.101360983, y = 1296763.19525517)
"10","Site-10","Base","None",-82.6494314672684,28.0076058672447,"lost",2103193.03019265,4.7546753229227e-07,"None",3005,"Seagrass, 2020","other, 2022",212.60732343986,"lost","Old Tampa Bay","OTB",c(x = 446613.873446445, y = 1336026.86746409)
"11","Site-11","Base","None",-82.6195506860625,27.9901359658528,"lost",2103193.03019265,4.7546753229227e-07,"None",3004,"Seagrass, 2020","other, 2022",42.1350792432588,"lost","Old Tampa Bay","OTB",c(x = 456223.512327409, y = 1329625.18177786)
"12","Site-12","Base","None",-82.6518931880111,27.9089902172948,"lost",2103193.03019265,4.7546753229227e-07,"None",229,"Seagrass, 2020","other, 2022",62.1685425015968,"lost","Old Tampa Bay","OTB",c(x = 445628.269458654, y = 1300177.42762116)
"13","Site-13","Base","None",-82.6066661686919,27.8704589130157,"lost",2103193.03019265,4.7546753229227e-07,"None",3030,"Seagrass, 2020","other, 2022",11.8873381240215,"lost","Old Tampa Bay","OTB",c(x = 460165.928278574, y = 1286093.71911144)
"14","Site-14","Base","None",-82.6371449741008,27.9959248447855,"lost",2103193.03019265,4.7546753229227e-07,"None",2985,"Seagrass, 2020","other, 2022",7.31854735329084,"lost","Old Tampa Bay","OTB",c(x = 450556.28939761, y = 1331759.0770066)
"15","Site-15","Base","None",-82.5965819122224,27.9784989242785,"lost",2103193.03019265,4.7546753229227e-07,"None",115,"Seagrass, 2020","other, 2022",4.38743681915668,"lost","Old Tampa Bay","OTB",c(x = 463615.542235843, y = 1325357.39132036)
"16","Site-16","Base","None",-82.6320169433579,27.902039608852,"lost",2103193.03019265,4.7546753229227e-07,"None",3064,"Seagrass, 2020","other, 2022",66.7978651029457,"lost","Old Tampa Bay","OTB",c(x = 452034.695379296, y = 1297616.75334667)
"17","Site-17","Base","None",-82.675349484329,28.0004379046573,"lost",2103193.03019265,4.7546753229227e-07,"None",3032,"Seagrass, 2020","other, 2022",86.7542627485219,"lost","Old Tampa Bay","OTB",c(x = 438236.23955022, y = 1333466.1931896)
"18","Site-18","Base","None",-82.6527054120654,27.9172034245589,"lost",2103193.03019265,4.7546753229227e-07,"None",3036,"Seagrass, 2020","other, 2022",200.141610532731,"lost","Old Tampa Bay","OTB",c(x = 445381.868461706, y = 1303164.88094141)
"19","Site-19","Base","None",-82.642566127894,28.0088119788785,"lost",2103193.03019265,4.7546753229227e-07,"None",3005,"Seagrass, 2020","other, 2022",212.60732343986,"lost","Old Tampa Bay","OTB",c(x = 448831.482418975, y = 1336453.64650984)
"20","Site-20","Base","None",-82.6702315658878,27.9135976864551,"lost",2103193.03019265,4.7546753229227e-07,"None",2932,"Seagrass, 2020","other, 2022",48.0757444830963,"lost","Old Tampa Bay","OTB",c(x = 439714.645531907, y = 1301884.54380416)
"21","Site-21","Base","None",-82.619744470757,27.8903566279879,"lost",2103193.03019265,4.7546753229227e-07,"None",3023,"Seagrass, 2020","other, 2022",148.915595649307,"lost","Old Tampa Bay","OTB",c(x = 455977.111330461, y = 1293348.96288917)
