"","siteID","siteuse","replsite","lon_WGS84","lat_WGS84","stratum","wgt","ip","caty","FLUCCSCODE","long_name","bay_segment","geometry"
"1","Site-1","Base","None",-82.6424964026869,27.8915249705186,"None",29973171.2526154,3.33631697350924e-08,"None",9113,"Old Tampa Bay","OTB",c(x = 448629.850286769, y = 1293811.60348512)
"2","Site-2","Base","None",-82.5931774618049,27.8252672851603,"None",29973171.2526154,3.33631697350924e-08,"None",9116,"Old Tampa Bay","OTB",c(x = 464444.467695616, y = 1269642.43802537)
"3","Site-3","Base","None",-82.5360515410902,27.9141395696655,"None",29973171.2526154,3.33631697350924e-08,"None",9116,"Old Tampa Bay","OTB",c(x = 483049.899941319, y = 1301867.99197171)
"4","Site-4","Base","None",-82.5358332640469,27.8698212260312,"None",29973171.2526154,3.33631697350924e-08,"None",9116,"Old Tampa Bay","OTB",c(x = 483049.899941319, y = 1285755.21499854)
"5","Site-5","Base","None",-82.5329756652856,27.8742642317753,"None",29973171.2526154,3.33631697350924e-08,"None",9116,"Old Tampa Bay","OTB",c(x = 483980.171553604, y = 1287366.49269586)
"6","Site-6","Base","None",-82.5620902143406,27.9361952332815,"None",29973171.2526154,3.33631697350924e-08,"None",9113,"Old Tampa Bay","OTB",c(x = 474677.455430753, y = 1309924.38045829)
